school,original_publication_date,sentence_lowered,period
plato,-350,"the same things then are loved by the gods and hated by the gods, and would be both god loved and god hated.",ancient
plato,-350,"i did not ask you what same thing is both pious and impious, and it appears that what is loved by the gods is also hated by them.",ancient
plato,-350,"this action would then, it seems, be hated by the gods, but the pious and the impious were not thereby now defined, for what is hated by the gods has also been shown to be loved by them.'",ancient
plato,-350,"however, is this the correction we are making in our discussion, that what all the gods hate is impious, and what they all love is pious, and that what some gods love and others hate is neither or both?",ancient
plato,-350,"i would certainly say that the pious is what all the gods love, and the opposite, what all the gods hate, is the impious.",ancient
plato,-350,"is the pious being loved by the gods because it is pious, or is it pious because it is being loved by the gods?",ancient
plato,-350,so there is also something loved and a different thing something loving.,ancient
plato,-350,is something loved either something changed or something affected by something?,ancient
plato,-350,"so it is in the same case as the things just mentioned; it is not being loved by those who love it because it is something loved, but it is something loved because it is being loved by them?",ancient
plato,-350,"surely that it is being loved by all the gods, according to what you say?",ancient
plato,-350,"is it being loved because it is pious, or for some other reason?",ancient
plato,-350,"it is being loved then because it is pious, but it is not pious because it is being loved?",ancient
plato,-350,and yet it is something loved and god loved because it is being loved by the gods?,ancient
plato,-350,"then the god loved is not the same as the pious, euthyphro, nor the pious the same as the god loved, as you say it is, but one differs from the other.",ancient
plato,-350,"because we agree that the pious is being loved for this reason, that it is pious, but it is not pious because it is being loved.",ancient
plato,-350,"and that the god loved, on the other hand, is so because it is being loved by the gods, by the very fact of being loved, but it is not being loved because it is god loved.",ancient
plato,-350,"but if the god loved and the pious were the same, my dear euthyphro, then if the pious was being loved because it was pious, the god loved would also be being loved because it was god loved; and if the god loved was god loved because it was being loved by the gods, then.",ancient
plato,-350,euthyphro the pious would also be pious because it was being loved by the gods.,ancient
plato,-350,"but now you see that they are in opposite cases as being altogether different from each other: the one is such as to be loved because it is being loved, the other is being loved because it is such as to be loved.",ancient
plato,-350,"i'm afraid, euthyphro, that when you were asked what piety is, you did not wish to make its nature clear to me, but you told me an affect or quality of it, that the pious has the quality of being loved by all the gods, but you have not yet told me what the pious is.",ancient
plato,-350,"what piety is, whether being loved by the gods or having some other quality we shall not quarrel about that but be keen to tell me what the pious and the impious are.",ancient
plato,-350,"as it is, the lover of inquiry must follow his beloved wherever it may lead him.",ancient
plato,-350,you surely remember that earlier the pious and the godloved were shown not to be the same but different from each other.,ancient
plato,-350,is this not the same as the god loved?,ancient
plato,-350,"it seems likely that we shall, only then, when we are dead, attain that which we desire and of which we claim to be lovers, namely, wisdom, as our argument shows, not while we live; for if it is impossible to attain any pure knowledge with the body, then one of two things is true:",ancient
plato,-350,"such are the things, simmias, that all those who love learning in the proper manner must say to one another and believe.",ancient
plato,-350,"many men, at the death of their lovers, wives or sons, were willing to go to the underworld, driven by the hope of seeing there those for whose company they longed, and being with them.",ancient
plato,-350,"will then a true lover of wisdom, who has a similar hope and knows that he will never find it to any extent except in hades, be resentful of dying and not gladly undertake the journey thither?",ancient
plato,-350,"then you have sufficient indication, he said, that any man whom you see resenting death was not a lover of wisdom but a lover of the body, and also a lover of wealth or of honors, either or both.",ancient
plato,-350,"well, you know what happens to lovers: whenever they see a lyre, a garment or anything else that their beloved is accustomed to use, they know the lyre, and the image of the boy to whom it belongs comes into their mind.",ancient
plato,-350,"no one may join the company of the gods who has not practiced philosophy and is not completely pure when he departs from life, no one but the lover of learning.",ancient
plato,-350,"it is for this reason, my friends simmias and cebes, that those who practice philosophy in the right way keep away from all bodily passions, master them and do not surrender themselves to them; it is not at all for fear of wasting their substance and of poverty, which the majority and the money lovers fear, nor for fear of dishonor and ill repute, like the ambitious and lovers of honors, that they keep away from them.",ancient
plato,-350,"the lovers of learning know that when philosophy gets hold of their soul, it is imprisoned in and clinging to the body, and that it is forced to examine other things through it as through a cage and not by itself, and that it wallows in every kind of ignorance.",ancient
plato,-350,"as i say, the lovers of learning know that philosophy gets hold of their soul when it is in that state, then gently encourages it and tries to free it by showing them that investigation through the eyes is full of deceit, as is that through the ears and the other senses.",ancient
plato,-350,"this is why genuine lovers of learning are moderate and brave, or do you think it is for the reasons the majority says they are?",ancient
plato,-350,"i know that others drink the poison quite a long time after they have received the order, eating and drinking quite a bit, and some of them enjoy intimacy with their loved ones.",ancient
plato,-350,"then he shouldn't be called 'theophilus' ('god beloved') or 'mnesitheus' ('mindful of god'), or anything of that sort, but something that signifies the opposite, if indeed names are to be actually correct.",ancient
plato,-350,"many, too, are given in the hope that they will prove appropriate, such as 'eutychides' ('son of good fortune'), 'sosias' ('saviour'), 'theophilus' ('god beloved'), and many others.",ancient
plato,-350,it expresses the fact that heroes were born out of love (ero?s).,ancient
plato,-350,so all of them sprang from the love of a god for a mortal woman or of a mortal man for a goddess.,ancient
plato,-350,"and if, as before, you investigate the matter by relying on old attic, you will get a better understanding, since it will show you that the name 'hero' ('he?ro?s') is only a slightly altered form of the word 'love' ('ero?s')",ancient
plato,-350,"demeter seems to have been so called because she gives (didousa) nourishment just like a mother (me?te?r); hera is a loveable one (erate?), and, indeed, zeus is said to have married her for love.",ancient
plato,-350,"you'll have to ask others for the serious one, but there's nothing to prevent us from going through the playful one even the gods love play.",ancient
plato,-350,"ero?s (erotic love) is so called because it flows in from outside, that is to say, the flow doesn't belong to the person who has it, but is introduced into him through his eyes.",ancient
plato,-350,"but, as it is, i love athens better than cyrene, and so i'm more anxious to know which of our young men show signs of turning out well.",ancient
plato,-350,"and if he were beautiful, i should be extremely nervous of speaking of him with enthusiasm, for fear i might be suspected of being in love with him.",ancient
plato,-350,"theodorus, i hope my love of argument is not making me forget my manners just because i'm so anxious to start a discussion and get us all friendly and talkative together?",ancient
plato,-350,"you are the complete lover of discussion, theodorus, and it is too good of you to think that i am a sort of bag of arguments, and can easily pick one out which will show you that this theory is wrong.",ancient
plato,-350,it seems you aren't paying attention to the way lovers hunt.,ancient
plato,-350,let's call this type expertise in love.,ancient
plato,-350,and you'll assign this dialectical activity only to someone who has a pure and just love of wisdom.,ancient
plato,-350,"ibycus compares himself to a horse a champion but no longer young, on the point of drawing a chariot in a race and trembling at what experience tells him is about to happen and says that he himself, old man that he is, is being forced against his will to compete in love's game.",ancient
plato,-350,c.) was best known for his love poems.,ancient
plato,-350,"(we know nothing of philebus, apart from this dialogue: his name means 'youth lover' and so pleasure seeker, and he is presented as himself an attractive young man.",ancient
plato,-350,for we are not contending here out of love of victory for my suggestion to win or for yours.,ancient
plato,-350,"but if pleasure were also deprived of second prize, she would definitely be somewhat dishonored in the eyes of her own lovers, nor would she seem as fair to them as before.",ancient
plato,-350,"is not a man who is just, pious, and good in all respects, also loved by the gods?",ancient
plato,-350,"take wrath, fear, longing, lamentations, love, jealousy, malice, and other things like that; don't you regard them as a kind of pain within the soul itself?",ancient
plato,-350,"now, we had on our list of examples wrath, longing, lamentations, fear, love, jealousy, malice, and whatever else, and we said that in these cases we would discern the mixture that we have already mentioned so frequently,",ancient
plato,-350,don't you see that it was designed to make it easier to persuade you that there is such a mixture in fear and love and other cases?,ancient
